modelo_A,modelo_B,metrica,delta,media_delta,mediana_delta,std_delta,ic95_bootstrap_inferior,ic95_bootstrap_superior,semillas_ganadas_A,n_semillas
GAT + NPP,GAT NPP solo aristas,CE,A - B; negativo favorece A,-0.0005476703321040333,-0.000336042266626535,0.0005456233158552279,-0.000888621674220147,-0.0002469244023484974,9,10
GAT + NPP,GAT NPP solo aristas,KL,A - B; negativo favorece A,-0.0005476703321039778,-0.00033604226662682646,0.00054562331585512,-0.0008886216742199998,-0.0002469244023485766,9,10
GAT + NPP,GAT NPP solo aristas,JS,A - B; negativo favorece A,6.083582581629457e-05,6.317457555238964e-05,8.974700972733601e-05,6.627457653849112e-06,0.00011139227734847004,2,10
GAT + NPP,GAT NPP solo aristas,MAE_nodo,A - B; negativo favorece A,9.2300827684807e-07,1.3825489135726034e-06,1.3668379833085398e-06,1.2461720674605647e-07,1.726122812242443e-06,4,10
GAT + NPP,GAT NPP solo aristas,RMSE_nodo,A - B; negativo favorece A,-5.443419542220697e-06,-1.0744215297541979e-05,1.65672734015471e-05,-1.4761139463979717e-05,4.614415566362352e-06,7,10
GAT + NPP,GAT NPP solo aristas,Aitchison,A - B; negativo favorece A,0.05445810221585194,0.04896663150177716,0.03783267890229973,0.03217714341351109,0.07667542048461932,0,10
GAT + NPP,GAT NPP solo aristas,Aitchison_activos,A - B; negativo favorece A,0.011599973315879319,0.006970704853526355,0.018355634628176614,0.001252972012711373,0.022694925135647456,3,10
GAT NPP solo aristas,GAT 100% libre,CE,A - B; negativo favorece A,-0.0007544828041552432,-0.0009484095117786584,0.0003923953571725426,-0.0009724933573693973,-0.0005125489480127513,10,10
GAT NPP solo aristas,GAT 100% libre,KL,A - B; negativo favorece A,-0.0007544828041551793,-0.0009484095117784502,0.0003923953571726913,-0.0009724933573693004,-0.0005125489480127114,10,10
GAT NPP solo aristas,GAT 100% libre,JS,A - B; negativo favorece A,-0.0001905656016761674,-0.0002117887275014628,0.00010143377921787629,-0.00025048507571124754,-0.00013150343332773322,10,10
GAT NPP solo aristas,GAT 100% libre,MAE_nodo,A - B; negativo favorece A,-2.409535998112284e-06,-2.3390947536529143e-06,7.996855821492296e-07,-2.9120174164014567e-06,-1.9789056909560286e-06,10,10
GAT NPP solo aristas,GAT 100% libre,RMSE_nodo,A - B; negativo favorece A,2.3908945195451855e-06,9.290281445433271e-07,8.22119715092735e-06,-2.163672157905008e-06,7.459268864567666e-06,5,10
GAT NPP solo aristas,GAT 100% libre,Aitchison,A - B; negativo favorece A,0.014990634672113413,0.015870077598071575,0.0397560500245289,-0.0074713672904287275,0.03912703270703002,3,10
GAT NPP solo aristas,GAT 100% libre,Aitchison_activos,A - B; negativo favorece A,-0.0027656028130420562,-0.0037785027494114942,0.01290511659538475,-0.010400381891513431,0.004757904095988671,6,10
GAT + NPP,GAT 100% libre,CE,A - B; negativo favorece A,-0.0013021531362592763,-0.001293881143888287,0.00046301944356059587,-0.0015700393916879263,-0.0010244184454895442,10,10
GAT + NPP,GAT 100% libre,KL,A - B; negativo favorece A,-0.001302153136259157,-0.0012938811438881759,0.00046301944356049406,-0.0015700393916877583,-0.0010244184454895342,10,10
GAT + NPP,GAT 100% libre,JS,A - B; negativo favorece A,-0.00012972977585987283,-0.000106079991430693,0.00010698156717808169,-0.00019500152390545725,-7.106028903280186e-05,10,10
GAT + NPP,GAT 100% libre,MAE_nodo,A - B; negativo favorece A,-1.4865277212642139e-06,-8.007009652992252e-07,1.5120448619052068e-06,-2.4081295798752837e-06,-6.646144780404962e-07,9,10
GAT + NPP,GAT 100% libre,RMSE_nodo,A - B; negativo favorece A,-3.0525250226755112e-06,-1.0015200364906895e-05,1.8448745390544508e-05,-1.3115046658172715e-05,8.383609287384711e-06,7,10
GAT + NPP,GAT 100% libre,Aitchison,A - B; negativo favorece A,0.06944873688796535,0.05960261171062964,0.02998595508569446,0.05216522449072649,0.08732293260839719,0,10
GAT + NPP,GAT 100% libre,Aitchison_activos,A - B; negativo favorece A,0.008834370502837263,0.0075282746673597245,0.015993342778971183,-0.00025969397870787887,0.018371380761316114,4,10
GAT 100% libre,Persistencia,CE,A - B; negativo favorece A,-0.0806524449475889,-0.08079082736639154,0.00039576938745259857,-0.08087149641302745,-0.0804099608152799,10,10
GAT 100% libre,Persistencia,KL,A - B; negativo favorece A,-0.08065244494758843,-0.0807908273663911,0.0003957693874527282,-0.08087149641302707,-0.08040996081527933,10,10
GAT 100% libre,Persistencia,JS,A - B; negativo favorece A,-0.012043636922048809,-0.012061359286499353,9.855128681109896e-05,-0.012096647105317732,-0.011981833326008983,10,10
GAT 100% libre,Persistencia,MAE_nodo,A - B; negativo favorece A,-0.00012427498900874262,-0.0001244015614374864,1.2045161054883598e-06,-0.00012492317940461192,-0.00012352347894825297,10,10
GAT 100% libre,Persistencia,RMSE_nodo,A - B; negativo favorece A,-0.001383871581892503,-0.0013850367149510615,1.0990204330600394e-05,-0.0013902606194058952,-0.0013772440925895108,10,10
GAT 100% libre,Persistencia,Aitchison,A - B; negativo favorece A,1.8102789210558137,1.8033463663786873,0.028970159164330565,1.7937379300943488,1.8274078495926747,0,10
GAT 100% libre,Persistencia,Aitchison_activos,A - B; negativo favorece A,0.43555168425336277,0.4346616189847674,0.007918058287622754,0.43105857947126436,0.44032755421027486,0,10
GAT NPP solo aristas,Persistencia,CE,A - B; negativo favorece A,-0.08140692775174414,-0.08128356083479882,0.0004901819753792684,-0.08169709609059672,-0.0811201774244615,10,10
GAT NPP solo aristas,Persistencia,KL,A - B; negativo favorece A,-0.0814069277517436,-0.08128356083479826,0.0004901819753793291,-0.08169709609059606,-0.08112017742446076,10,10
GAT NPP solo aristas,Persistencia,JS,A - B; negativo favorece A,-0.012234202523724976,-0.012217043200107188,9.359301521409056e-05,-0.012286834964871813,-0.012176325860885028,10,10
GAT NPP solo aristas,Persistencia,MAE_nodo,A - B; negativo favorece A,-0.0001266845250068549,-0.00012632600440001687,1.1373288794460858e-06,-0.00012737260427718932,-0.00012604218801441316,10,10
GAT NPP solo aristas,Persistencia,RMSE_nodo,A - B; negativo favorece A,-0.0013814806873729576,-0.0013794269793855306,1.0580839365954915e-05,-0.00138794182315258,-0.0013754568667754374,10,10
GAT NPP solo aristas,Persistencia,Aitchison,A - B; negativo favorece A,1.8252695557279268,1.807743717470256,0.03678596811129696,1.804595970004902,1.8480362921056446,0,10
GAT NPP solo aristas,Persistencia,Aitchison_activos,A - B; negativo favorece A,0.4327860814403207,0.4351554960135149,0.014501854879714095,0.42413184304609675,0.4410826088321537,0,10
GAT + NPP,Persistencia,CE,A - B; negativo favorece A,-0.08195459808384817,-0.08201657107941607,0.00039135412411512124,-0.08218678219333411,-0.08172504671556602,10,10
GAT + NPP,Persistencia,KL,A - B; negativo favorece A,-0.08195459808384757,-0.08201657107941543,0.0003913541241149761,-0.08218678219333339,-0.0817250467155655,10,10
GAT + NPP,Persistencia,JS,A - B; negativo favorece A,-0.01217336669790868,-0.012164168899054192,4.4904674004979056e-05,-0.012200387040715098,-0.012148005989021944,10,10
GAT + NPP,Persistencia,MAE_nodo,A - B; negativo favorece A,-0.0001257615167300068,-0.00012579786291421543,6.315994201354532e-07,-0.0001261262662492172,-0.0001253928122712054,10,10
GAT + NPP,Persistencia,RMSE_nodo,A - B; negativo favorece A,-0.0013869241069151786,-0.001389685389328479,1.5150535597851432e-05,-0.0013951839724560817,-0.0013774186116488302,10,10
GAT + NPP,Persistencia,Aitchison,A - B; negativo favorece A,1.8797276579437792,1.8881289957169507,0.025178613154133563,1.8641742104114074,1.893497374126148,0,10
GAT + NPP,Persistencia,Aitchison_activos,A - B; negativo favorece A,0.4443860547562,0.44566380692799634,0.011890819935385983,0.4374423754757597,0.4513208261375454,0,10
