Modelo,CE,KL,JS,Aitchison,MAE_nodo,RMSE_nodo,Error_cierre_max,N_test,seed,Aitchison_activos,N_nodos_activos
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,11,2.8721510142815867,440.0
GAT 100% libre,2.975266898647131,0.18296085437429951,0.039170101393266106,4.565202323359831,0.0008448754733177324,0.007275223440482443,4.440892098500626e-16,2016,11,3.311242818980912,440.0
GAT NPP solo aristas,2.9741967285691766,0.18189068429634497,0.038939841462174406,4.579998175916332,0.0008424945477488536,0.007275032123371794,4.440892098500626e-16,2016,11,3.313098979815748,440.0
GAT + NPP,2.9742333129256853,0.18192726865285402,0.03890894168283719,4.611264713831837,0.0008417275746344042,0.007263435790837002,4.440892098500626e-16,2016,11,3.3000195449032756,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,23,2.8721510142815867,440.0
GAT 100% libre,2.9751678108540185,0.18286176658118714,0.0393173346572717,4.6012551961438986,0.0008469409858314394,0.007270219325652606,4.440892098500626e-16,2016,23,3.3055628898142593,440.0
GAT NPP solo aristas,2.9742425304507467,0.18193648617791588,0.038932084778702004,4.571628101892071,0.0008427315297398791,0.007272268699052341,4.440892098500626e-16,2016,23,3.2793458506776934,440.0
GAT + NPP,2.97386605001791,0.18156000574507897,0.03899223247863088,4.661761253463543,0.000842359175978747,0.007254856178790051,4.440892098500626e-16,2016,23,3.308867919262676,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,42,2.8721510142815867,440.0
GAT 100% libre,2.975773893090756,0.1834678488179247,0.03912097851759955,4.579041320944419,0.0008450528832193574,0.0072884079054639835,3.3306690738754696e-16,2016,42,3.308062376718449,440.0
GAT NPP solo aristas,2.9756356431073554,0.18332959883452452,0.039105125738391804,4.662778196804912,0.0008434869698521239,0.007282511142438329,4.440892098500626e-16,2016,42,3.3264053678893744,440.0
GAT + NPP,2.9740961080282204,0.18179006375538964,0.03899204391606074,4.673168679887998,0.0008426163945387701,0.007267059069254059,4.440892098500626e-16,2016,42,3.320893340451956,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,67,2.8721510142815867,440.0
GAT 100% libre,2.9755100659738565,0.18320402170102534,0.039035874129525576,4.566510806038463,0.000843595108853766,0.0072772169638286215,4.440892098500626e-16,2016,67,3.3008484033784797,440.0
GAT NPP solo aristas,2.9749262094101407,0.18262016513730947,0.03893227285739389,4.570409637867696,0.0008420685210496418,0.007280452728464233,4.440892098500626e-16,2016,67,3.2965446182661777,440.0
