modelo_A,modelo_B,metrica,delta,media_delta,mediana_delta,std_delta,ic95_bootstrap_inferior,ic95_bootstrap_superior,semillas_ganadas_A,n_semillas
GAT + NPP,GAT libre,CE,A - B; negativo favorece A,-0.0003849254826246984,-0.00019103483495008788,0.0005310689197575844,-0.0009856951906384026,2.1953577714395323e-05,2,3
GAT + NPP,GAT libre,KL,A - B; negativo favorece A,-0.0003849254826247724,-0.00019103483495050422,0.0005310689197575828,-0.0009856951906384026,2.195357771458961e-05,2,3
GAT + NPP,GAT libre,JS,A - B; negativo favorece A,6.305279322787553e-06,-9.858374084896482e-06,4.6260045764305005e-05,-2.9704209053585395e-05,5.8478421106844536e-05,2,3
GAT + NPP,GAT libre,MAE_nodo,A - B; negativo favorece A,-3.435416686213945e-07,-3.066834897184293e-07,3.0340563031427243e-07,-6.636926208743133e-07,-6.024889527144091e-08,3,3
GAT + NPP,GAT libre,RMSE_nodo,A - B; negativo favorece A,-9.07425338434025e-06,-8.519285993454848e-06,1.253174612779047e-06,-1.050908534474225e-05,-8.19438881482365e-06,3,3
GAT + NPP,GAT libre,Aitchison,A - B; negativo favorece A,0.047141460937785894,0.03841666343108052,0.02653442701204123,0.026067974642499436,0.07693974473977772,0,3
GAT + NPP,GAT libre,Aitchison_activos,A - B; negativo favorece A,0.0013796757954331145,-0.0030599756768721065,0.018982182172008838,-0.014989214430380926,0.022188217493552376,2,3
Cabeza energetica NPP,GAT libre,CE,A - B; negativo favorece A,-0.0001320105679143424,0.00017186323326345843,0.0006169025055024944,-0.0008419028753356983,0.00027400793832921266,1,3
Cabeza energetica NPP,GAT libre,KL,A - B; negativo favorece A,-0.00013201056791412036,0.0001718632332635417,0.0006169025055025059,-0.0008419028753354763,0.0002740079383295735,1,3
Cabeza energetica NPP,GAT libre,JS,A - B; negativo favorece A,0.00012656235413153563,0.00012368808748216414,2.052573918936893e-05,0.00010762524114645011,0.00014837373376599267,0,3
Cabeza energetica NPP,GAT libre,MAE_nodo,A - B; negativo favorece A,1.6953277234044927e-06,1.5884419724722506e-06,4.1766361084900867e-07,1.341493704101011e-06,2.1560474936402167e-06,0,3
Cabeza energetica NPP,GAT libre,RMSE_nodo,A - B; negativo favorece A,5.633519136388071e-06,7.330451554828955e-06,3.9123643087823685e-06,1.1591861673338616e-06,8.410919687001396e-06,0,3
Cabeza energetica NPP,GAT libre,Aitchison,A - B; negativo favorece A,0.015693548590157036,0.018540160169027153,0.024730554811618607,-0.010337132987438657,0.03887761858888261,1,3
Cabeza energetica NPP,GAT libre,Aitchison_activos,A - B; negativo favorece A,-0.0007094061761279136,-0.001995634952144165,0.01911592795063798,-0.019149737836090086,0.01901715425985051,2,3
Cabeza energetica NPP,GAT + NPP,CE,A - B; negativo favorece A,0.000252914914710356,0.00025205436061481734,0.00010955541134362213,0.0001437923153027043,0.0003628980682135463,0,3
Cabeza energetica NPP,GAT + NPP,KL,A - B; negativo favorece A,0.00025291491471065203,0.0002520543606149839,0.00010955541134376167,0.00014379231530292635,0.0003628980682140459,0,3
Cabeza energetica NPP,GAT + NPP,JS,A - B; negativo favorece A,0.00012025707480874809,0.00013354646156706063,6.548484141872144e-05,4.9146820039605577e-05,0.00017807794281957806,0,3
Cabeza energetica NPP,GAT + NPP,MAE_nodo,A - B; negativo favorece A,2.0388693920258875e-06,1.6486908677436915e-06,6.762539315192011e-07,1.6481771938194403e-06,2.81974011451453e-06,0,3
Cabeza energetica NPP,GAT + NPP,RMSE_nodo,A - B; negativo favorece A,1.470777252072832e-05,1.6930205680456244e-05,4.659108742886621e-06,9.353574982157511e-06,1.7839536899571205e-05,0,3
Cabeza energetica NPP,GAT + NPP,Aitchison,A - B; negativo favorece A,-0.03144791234762886,-0.036405107629938094,0.010055324895994302,-0.038062126150895104,-0.01987650326205337,3,3
Cabeza energetica NPP,GAT + NPP,Aitchison_activos,A - B; negativo favorece A,-0.002089081971561028,-0.003171063233701865,0.0027753943655091564,-0.00416052340570916,0.0010643407247279413,2,3
