experiment,model,model_family,feature_set,split,n_train,n_eval,MAE,RMSE,R2,fold
H_regression_walk_forward_train,persistence,regression,sigma_past,fold_1_train,3038,3038,0.0007435004811291769,0.0012154873016116676,-0.27520269984771506,1
H_regression_walk_forward_train,linear_volatility,regression,sigma_past,fold_1_train,3038,3038,0.0006373279665423448,0.0010031532591066594,0.1314137534676616,1
H_regression_walk_forward_train,linear_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_1_train,3038,3038,0.0006372524997358648,0.001002950012996814,0.13176568153100887,1
H_regression_walk_forward_train,histgb_volatility,regression,sigma_past,fold_1_train,3038,3038,0.0006191763994475439,0.0009660583414176794,0.1944637647585079,1
H_regression_walk_forward_train,histgb_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_1_train,3038,3038,0.0005930315627998582,0.00091684835605761,0.2744398988891187,1
H_regression_walk_forward_train,persistence,regression,sigma_past,fold_2_train,6073,6073,0.0010813566186316562,0.0017826973791370204,0.06932171912596818,2
H_regression_walk_forward_train,linear_volatility,regression,sigma_past,fold_2_train,6073,6073,0.0009773215909183457,0.001561533426013906,0.2859199544368304,2
H_regression_walk_forward_train,linear_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_2_train,6073,6073,0.00097731096603062,0.001561530079916779,0.28592301473459814,2
H_regression_walk_forward_train,histgb_volatility,regression,sigma_past,fold_2_train,6073,6073,0.000960647787779825,0.0015386931308034675,0.3066566461875163,2
H_regression_walk_forward_train,histgb_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_2_train,6073,6073,0.000933968507930955,0.0014752415944250506,0.36266080926450506,2
H_regression_walk_forward_train,persistence,regression,sigma_past,fold_3_train,9108,9108,0.001144751319393281,0.0018367426064508075,-0.05967857877241278,3
H_regression_walk_forward_train,linear_volatility,regression,sigma_past,fold_3_train,9108,9108,0.0010175666393435982,0.0015747345658336063,0.22108103964424097,3
H_regression_walk_forward_train,linear_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_3_train,9108,9108,0.0010173594186392544,0.0015745270393235735,0.22128632590093567,3
H_regression_walk_forward_train,histgb_volatility,regression,sigma_past,fold_3_train,9108,9108,0.001004680235746767,0.0015581088877972351,0.23744150356661586,3
H_regression_walk_forward_train,histgb_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_3_train,9108,9108,0.0009759456879432593,0.001500604255619013,0.292689830851825,3
H_regression_walk_forward_train,persistence,regression,sigma_past,fold_4_train,12143,12143,0.0011541616154307553,0.0018504811652479858,-0.1641977129242438,4
H_regression_walk_forward_train,linear_volatility,regression,sigma_past,fold_4_train,12143,12143,0.001004817636465112,0.0015580592606717753,0.17467434041301189,4
H_regression_walk_forward_train,linear_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_4_train,12143,12143,0.0010047626133570715,0.0015580107467319459,0.17472573663012814,4
H_regression_walk_forward_train,histgb_volatility,regression,sigma_past,fold_4_train,12143,12143,0.0010579841598084081,0.0016288914024072604,0.09792703833345939,4
H_regression_walk_forward_train,histgb_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_4_train,12143,12143,0.001056988268957053,0.0016270714821489645,0.0999416400914398,4
H_regression_walk_forward_train,persistence,regression,sigma_past,fold_5_train,15178,15178,0.001113032824022889,0.001788240539330735,-0.1845263047706176,5
H_regression_walk_forward_train,linear_volatility,regression,sigma_past,fold_5_train,15178,15178,0.0009631281928552228,0.0015002580700010308,0.16627124492523426,5
H_regression_walk_forward_train,linear_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_5_train,15178,15178,0.0009630769992042287,0.0015002350099185791,0.16629687479046995,5
H_regression_walk_forward_train,histgb_volatility,regression,sigma_past,fold_5_train,15178,15178,0.0010247859074031685,0.0015772348876576352,0.07852069277211604,5
H_regression_walk_forward_train,histgb_volatility_plus_topology,regression,sigma_past+dBTC_y,fold_5_train,15178,15178,0.0010238766062471358,0.0015761480407349808,0.07979020804356407,5
