experiment,model,model_family,feature_set,backend,regime_scheme,split,seed,n_train,n_eval,accuracy,balanced_accuracy,macro_f1,log_loss,fold
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,3_regimes,fold_1,42,3038,3035,0.1416803953871499,0.3333333333333333,0.08273208273208273,30.93697432574964,1
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,3_regimes,fold_1,42,3038,3035,0.5943986820428336,0.4660495969763585,0.46178531604486023,0.8927914558309088,1
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,3_regimes,fold_1,42,3038,3035,0.4313014827018122,0.4325748518389962,0.3754883384291305,1.083954572339437,1
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,3_regimes,fold_1,42,3038,3035,0.5799011532125206,0.4931132451437901,0.4838847188438436,0.9033473046953251,1
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,3_regimes,fold_1,42,3038,3035,0.6461285008237232,0.5082944450872253,0.5188836183467908,0.8015399800964519,1
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,3_regimes,fold_1,42,3038,3035,0.4023064250411862,0.4172959491945955,0.363459706405689,1.146264818807613,1
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,3_regimes,fold_1,42,3038,3035,0.6484349258649094,0.5145307056449021,0.5175539051758923,0.7992567836145653,1
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_extreme_4_5,fold_1,42,3038,3035,0.19769357495881384,0.2,0.06602475928473177,28.918054696046212,1
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_extreme_4_5,fold_1,42,3038,3035,0.4098846787479407,0.26228181818181817,0.2240972517413442,1.400427373001934,1
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_extreme_4_5,fold_1,42,3038,3035,0.34036243822075785,0.24825757575757573,0.20307620537521315,1.596715739079041,1
