experiment,model,model_family,feature_set,backend,regime_scheme,split,seed,n_train,n_eval,accuracy,balanced_accuracy,macro_f1,log_loss
I_J_regime_classification_train,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,3_regimes,holdout_train,42,18215,18215,0.3333516332692836,0.3333333333333333,0.16667352904846214,24.028442662863
I_J_regime_classification_train,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,3_regimes,holdout_train,42,18215,18215,0.4650562723030469,0.4650465122604588,0.45684940276551617,1.0240425743762667
I_J_regime_classification_train,tree_topology,classification,simple_topology,decision_tree_or_dummy,3_regimes,holdout_train,42,18215,18215,0.42091682679110626,0.4209042000216006,0.4020231108830969,1.0693086258350775
I_J_regime_classification_train,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,3_regimes,holdout_train,42,18215,18215,0.47010705462530883,0.4700987172940436,0.4651276501429879,1.0181683480762942
I_J_regime_classification_train,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,3_regimes,holdout_train,42,18215,18215,0.5890200384298655,0.5890150113569721,0.5879192737198107,0.8651803157663278
I_J_regime_classification_train,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,3_regimes,holdout_train,42,18215,18215,0.5814438649464727,0.5814375809255243,0.5786592771450105,0.943659761220228
I_J_regime_classification_train,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,3_regimes,holdout_train,42,18215,18215,0.6271205050782322,0.6271162347877738,0.6263751213962873,0.8364124467738043
I_J_regime_classification_train,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_extreme_4_5,holdout_train,42,18215,18215,0.30332143837496567,0.2,0.09309182813816344,25.110840598841428
I_J_regime_classification_train,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_extreme_4_5,holdout_train,42,18215,18215,0.40609387867142466,0.26776470588235296,0.2535303245312899,1.2790198467254232
I_J_regime_classification_train,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_extreme_4_5,holdout_train,42,18215,18215,0.37167169914905296,0.24506787330316743,0.21644517146505998,1.3333420455343212
I_J_regime_classification_train,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_extreme_4_5,holdout_train,42,18215,18215,0.4114191600329399,0.2712760180995475,0.2577497764566368,1.2739665122866959
I_J_regime_classification_train,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_extreme_4_5,holdout_train,42,18215,18215,0.5530057644798243,0.4202979803553692,0.44826844112634545,1.0290433109532098
I_J_regime_classification_train,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_extreme_4_5,holdout_train,42,18215,18215,0.5593192423826516,0.41158326895486147,0.43321076881243475,1.1036964555927031
I_J_regime_classification_train,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_extreme_4_5,holdout_train,42,18215,18215,0.5981334065330771,0.47830129124820664,0.5208736042363362,0.9745643924398162
I_J_regime_classification_train,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_quintiles,holdout_train,42,18215,18215,0.2,0.2,0.06666666666666667,28.834922711293714
I_J_regime_classification_train,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_quintiles,holdout_train,42,18215,18215,0.3052978314575899,0.30529783145758993,0.2631139149689067,1.5225155206945904
I_J_regime_classification_train,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_quintiles,holdout_train,42,18215,18215,0.2657699698051057,0.2657699698051057,0.20576949002481015,1.5758099252152575
I_J_regime_classification_train,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_quintiles,holdout_train,42,18215,18215,0.3056821301125446,0.3056821301125446,0.26483329612883255,1.5173467643562073
I_J_regime_classification_train,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_quintiles,holdout_train,42,18215,18215,0.49365907219324734,0.49365907219324734,0.4910327174953709,1.2680171347784592
I_J_regime_classification_train,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_quintiles,holdout_train,42,18215,18215,0.5347790282734011,0.5347790282734011,0.5340005973799186,1.3387228014235648
I_J_regime_classification_train,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_quintiles,holdout_train,42,18215,18215,0.5778204776283283,0.5778204776283283,0.576221401821678,1.207687781692055
