experiment,model,feature_set,regime_scheme,split,threshold_order,threshold_value,fitted_on,fold
regime_thresholds,train_quantiles,sigma_future,3_regimes,holdout,1,0.0007879016532873113,train_only,
regime_thresholds,train_quantiles,sigma_future,3_regimes,holdout,2,0.0015989211387932296,train_only,
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,holdout,1,0.00022421686167945154,train_only,
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,holdout,2,0.0008148981883035352,train_only,
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,holdout,3,0.0015446224377956242,train_only,
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,holdout,4,0.004515811954624947,train_only,
regime_thresholds,train_quantiles,sigma_future,5_quintiles,holdout,1,0.0005489186616614461,train_only,
regime_thresholds,train_quantiles,sigma_future,5_quintiles,holdout,2,0.0009072136948816479,train_only,
regime_thresholds,train_quantiles,sigma_future,5_quintiles,holdout,3,0.001375235291197896,train_only,
regime_thresholds,train_quantiles,sigma_future,5_quintiles,holdout,4,0.00223660059273243,train_only,
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_1,1,0.0005859547915558019,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_1,2,0.0011489350581541655,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_1,1,0.000170160925044911,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_1,2,0.0006051137822214515,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_1,3,0.001113493272375005,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_1,4,0.003311729879351333,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_1,1,0.0003988278331235051,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_1,2,0.0006838495610281825,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_1,3,0.001001038309186697,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_1,4,0.001595691451802849,train_only,1.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_2,1,0.0007610681932419537,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_2,2,0.0016449692193418741,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_2,1,0.00020507171866483988,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_2,2,0.0007923506596125663,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_2,3,0.001591505934484303,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_2,4,0.005209784992039202,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_2,1,0.0005129952565766871,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_2,2,0.0008868594537489116,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_2,3,0.0013905698666349053,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_2,4,0.0024109805468469866,train_only,2.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_3,1,0.0008314733859151602,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_3,2,0.0017678501317277544,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_3,1,0.0002307035494595766,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_3,2,0.0008593789425018865,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_3,3,0.001709318482899107,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_3,4,0.005222387304529545,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_3,1,0.0005719844833947719,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_3,2,0.0009666204103268683,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_3,3,0.001513019693084061,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,5_quintiles,fold_3,4,0.0025269687641412022,train_only,3.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_4,1,0.0008526471404669185,train_only,4.0
regime_thresholds,train_quantiles,sigma_future,3_regimes,fold_4,2,0.0017740566205854207,train_only,4.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_4,1,0.0002421602068352513,train_only,4.0
regime_thresholds,train_quantiles,sigma_future,5_extreme_4_5,fold_4,2,0.0008827175974147395,train_only,4.0
